nome;sobrenome;email;senha;telefone;data_nascimento;genero
Ana;Silva;ana.silva@email.com;xwyzab;47987654321;1990-05-15;F
Carlos;Santos;carlos.santos@email.com;plmkoj;47981234567;1985-09-22;M
Mariana;Oliveira;mariana.oliveira@email.com;qwerty;47982345678;1988-12-10;F
Rafael;Lima;rafael.lima@email.com;asdfgh;47983456789;1983-03-07;M
Juliana;Martins;juliana.martins@email.com;zxcvbn;47984567890;1995-07-31;F
Pedro;Almeida;pedro.almeida@email.com;lkjhgf;47985678901;1980-11-25;M
Camila;Costa;camila.costa@email.com;poiuyt;47986789012;1992-02-18;F
Lucas;Rodrigues;lucas.rodrigues@email.com;mnbvcx;47987890123;1987-04-14;M
Beatriz;Pereira;beatriz.pereira@email.com;ytrewq;47988901234;1998-09-03;F
Fernando;Nunes;fernando.nunes@email.com;cdefgh;47980012345;1982-06-28;M
Rodrigo;Silveira;rodrigo.silveira@email.com;mxylwz;47984561234;1984-06-15;M
Fernanda;Mendes;fernanda.mendes@email.com;wvnqxp;47981234561;1992-02-28;F
Gustavo;Alves;gustavo.alves@email.com;fcxvyz;47982345678;1988-11-10;M
Aline;Pereira;aline.pereira@email.com;vqmopx;47983456789;1995-08-22;F
Renato;Oliveira;renato.oliveira@email.com;hjgfds;47985678901;1983-04-07;M
Larissa;Costa;larissa.costa@email.com;rbmcza;47987890123;1990-07-31;F
Hugo;Santos;hugo.santos@email.com;lvzqwn;47989012345;1985-09-03;M
Isabela;Lima;isabela.lima@email.com;qwmplk;47980011234;1998-12-20;F
Ricardo;Nunes;ricardo.nunes@email.com;bgfdhr;47981112233;1982-03-28;M
Carolina;Martins;carolina.martins@email.com;qweasx;47982223344;1993-10-15;F
